GEO LEVEL,GEO COMPARISON,Year,GEO UNIT,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
County,state,2016,county,48,Texas,TX,48277,Lamar County,48277,49626,0,22583,84,19077,359,9691,864,1564,338,22438,1162,5195,465,9042,84,11726,51,8980,1.2,2314,296,12274,56,,,1205,225,1573,251,623,180,1472,183,846,183,19.9,1.8,7,1.5,22438,1162,15.5,1.4,18.2,0.2,23.6,0.1,18.3,12.1,1.5,24.7,0.1,1.4,0.5,5.3,1,7,1.1,3.3,0.9,7.7,1,1.7,0.4,0.7628,0.6877,0.2648,2.3399,0.6522,0.6443,0.3953,0.7194,0.8933,2.6522,0.917,0.2095,0.1462,0.3557,0.1581,0.8142,0.1542,0.4466,0.8814,0.4743,2.7708,0.6126,8.1186,0.6324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9605,784,19.6,1.6,51784
County,state,2016,county,48,Texas,TX,48279,Lamb County,48279,13561,0,6102,37,4817,155,2763,422,284,95,20933,1273,2207,193,2220,34,3838,18,1925,1.3,457,99,8037,20,,,95,52,479,101,234,80,293,82,209,71,20.8,3.2,4.7,1.6,20933,1273,25.8,2.2,16.4,0.3,28.3,0.1,14.4,9.5,2,59.3,0.1,5.7,1.3,1.6,0.9,7.8,1.7,4.9,1.7,6.1,1.7,1.5,0.5,0.8182,0.2569,0.8024,2.6364,0.7905,0.5217,0.8617,0.3715,0.6047,2.3597,0.7984,0.7905,0.6996,1.4901,0.7628,0.4585,0.1818,0.7194,0.668,0.4387,2.4664,0.4506,8.9526,0.7866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2800,312,21,2.3,12498
County,state,2016,county,48,Texas,TX,48281,Lampasas County,48281,20357,0,9005,45,7583,229,2751,598,738,188,24382,1107,1580,261,3612,104,4944,97,3475,1.5,616,170,5423,21,,,141,70,1305,216,168,89,389,133,272,88,13.7,3,8.2,2.1,24382,1107,11.4,1.9,17.7,0.5,24.3,0.5,17.5,8.1,2.2,26.6,0.1,1.1,0.8,1.6,0.8,14.5,2.4,2.2,1.2,5.1,1.7,1.3,0.4,0.2688,0.7826,0.0909,1.5731,0.3043,0.6166,0.4901,0.6324,0.3834,2.1225,0.6126,0.2648,0.0909,0.3557,0.1542,0.4625,0.4506,0.1779,0.4822,0.3874,1.9605,0.2134,6.0119,0.2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3214,478,16.2,2.4,18463
County,state,2016,county,48,Texas,TX,48283,La Salle County,48283,7319,225,3097,293,2101,268,843,451,217,113,23939,7472,1736,289,1057,246,1826,346,1364,5.4,171,99,6332,356,,,47,51,745,230,249,113,223,133,937,216,13.2,7,8.4,4.4,23939,7472,36.3,5.6,14.4,3.3,24.9,4.7,21.4,8.1,4.6,86.5,4.1,12.4,3.4,1.5,1.6,24.1,6.8,11.9,5.2,10.6,5.9,12.8,2.9,0.2213,0.8024,0.9447,2.4387,0.6996,0.3597,0.585,0.8696,0.3913,2.2055,0.6561,0.9526,0.917,1.8696,0.9486,0.4466,0.8617,0.9763,0.9763,0.9091,4.17,0.996,10.6838,0.9328,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,1,1,1,3,,1622,456,25.4,7.2,8229
County,state,2016,county,48,Texas,TX,48285,Lavaca County,48285,19654,0,10370,72,7741,269,1995,385,323,97,28491,1527,2316,248,4338,20,4603,16,3446,1.5,639,134,4996,6,,,166,67,1704,181,553,141,382,92,461,159,10.4,2,3.5,1.1,28491,1527,17,1.8,22.1,0.1,23.4,0.1,17.9,8.3,1.7,25.4,0,2.3,0.8,1.6,0.6,16.4,1.7,7.1,1.8,4.9,1.2,2.3,0.8,0.1028,0.1067,0.3518,0.7194,0.0791,0.8379,0.3676,0.6838,0.4071,2.2964,0.7391,0.2174,0.2767,0.4941,0.2174,0.4704,0.5692,0.9012,0.4625,0.6126,3.0158,0.7866,6.5257,0.3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,2706,294,14.1,1.5,16948
County,state,2016,county,48,Texas,TX,48287,Lee County,48287,16754,0,7584,50,6014,228,2402,464,484,167,25549,1954,2002,239,2837,95,3861,0,2545,1.9,451,130,6054,27,,,80,53,1649,232,188,70,220,72,542,122,14.8,2.8,6,2,25549,1954,17.7,2.1,16.9,0.6,23,0,15.7,7.5,2.2,36.1,0.2,3.7,1.5,1.1,0.7,21.7,3,3.1,1.2,3.7,1.2,3.2,0.7,0.3478,0.4862,0.4229,1.581,0.3083,0.5573,0.336,0.4783,0.3083,1.6798,0.2134,0.4229,0.4743,0.8972,0.4427,0.3202,0.8024,0.4111,0.2451,0.668,2.4466,0.4308,6.6047,0.3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2371,402,14.6,2.5,15813
County,state,2016,county,48,Texas,TX,48289,Leon County,48289,16923,0,9545,29,6279,299,2694,482,553,162,27271,3072,1828,266,3914,52,3861,44,2410,1.9,609,163,3955,35,,,38,32,2576,321,197,92,219,83,121,55,16,2.9,7.6,2.2,27271,3072,15.5,2.2,23.1,0.3,22.8,0.3,14.3,9.7,2.6,23.4,0.2,3.9,1.1,0.4,0.3,27,3.4,3.1,1.5,3.5,1.3,0.7,0.3,0.4466,0.751,0.2648,1.6917,0.3557,0.8656,0.3162,0.3597,0.6364,2.1779,0.6403,0.1858,0.5138,0.6996,0.336,0.1383,0.917,0.4229,0.2253,0.1383,1.8419,0.1621,6.4111,0.2925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,3058,368,18.2,2.2,17185
County,state,2016,county,48,Texas,TX,48291,Liberty County,48291,78598,0,29609,312,25611,474,12448,1653,2871,438,22065,963,12234,737,10079,70,19796,90,12784,1.1,2292,385,26054,49,,,1051,255,9053,619,968,294,1420,259,6700,789,17.3,2.3,9.2,1.4,22065,963,23.8,1.4,12.8,0.1,25.2,0.1,17.8,8.9,1.5,33.1,0.1,3.9,0.7,3.5,0.9,30.6,2.1,3.8,1.1,5.5,1,8.5,1,0.585,0.8538,0.7391,2.834,0.8419,0.2095,0.6047,0.6561,0.5296,2,0.4901,0.3676,0.5178,0.8854,0.4348,0.7036,0.9644,0.5534,0.5613,0.8458,3.6285,0.9684,9.3478,0.8419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,15121,1116,21,1.5,70712
County,state,2016,county,48,Texas,TX,48293,Limestone County,48293,23469,0,10553,92,8046,271,4976,704,923,222,20506,1209,3333,299,4086,53,5450,38,4014,1.7,740,146,9454,24,,,272,96,2214,219,193,72,529,131,1010,230,22.2,3.1,9.4,2.2,20506,1209,21.1,1.9,17.4,0.2,23.2,0.2,17.8,9.2,1.8,40.3,0.1,6.2,1.2,2.6,0.9,21,2.1,2.4,0.9,6.6,1.6,4.3,1,0.8696,0.8735,0.6126,3.1344,0.8933,0.5889,0.3557,0.6561,0.5731,2.1739,0.6364,0.5257,0.7352,1.2609,0.6364,0.6087,0.7747,0.2253,0.7431,0.7391,3.0909,0.8182,9.6601,0.8735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5396,574,24,2.6,24086
County,state,2016,county,48,Texas,TX,48295,Lipscomb County,48295,3507,0,1476,90,1235,97,358,95,100,42,29103,2738,453,75,496,73,955,97,426,1.9,68,25,1143,146,,,4,14,108,35,22,13,20,12,49,60,10.4,2.7,5.8,2.4,29103,2738,19.9,3.4,14.1,2.1,27.2,2.8,12.3,5.5,2,32.6,4.2,4.5,2.1,0.3,1,7.3,2.4,1.8,1.1,1.6,1,1.4,1.7,0.1028,0.4506,0.5613,1.2411,0.2055,0.3241,0.7747,0.1897,0.1067,1.3953,0.1028,0.3597,0.5889,0.9486,0.4664,0.1146,0.166,0.1344,0.0395,0.415,0.8696,0.0158,4.4545,0.0711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,623,90,18,2.5,3445
