ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
48,Texas,TX,48165,Gaines,48165,"Gaines County, Texas",1502.362445,21077,0,6505,28,5878,178,4699,1063,341,204,918,249,4332,408,6281,787,1894,94,7539,110,2711,414,531,199,1473,396,9438,244,131,62,1422,244,377,165,331,179,115,76,22.4,5.1,3.8,2.3,15.6,4.2,38.2,3.6,29.9,3.8,9,0.4,35.8,0.5,12.9,2,9,3.4,7.8,2.1,44.8,1.2,2,1,21.9,3.8,6.4,2.8,5.6,3.1,0.5,0.4,0.3439,0.2727,0.1621,0.9802,0.9763,2.7352,0.6285,0,0.996,0.2451,0.8221,0.8379,2.9011,0.7866,0.5889,0.5889,0.5889,0.5059,0.834,0.8735,0.5929,0.083,2.8893,0.7194,9.1145,0.7352,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,19133,3327,720,292,171,8797,0,176,126,156,110,0,26,17,34,0,0,15.9,0.1,1.4,0.8,41.7,0,0.8,0.6,0.7,0.5,0,0.2,0.1,0.2,0,0.2
48,Texas,TX,48167,Galveston,48167,"Galveston County, Texas",379.2858812,337600,0,148527,172,125204,1006,63464,3151,9989,1063,32228,1745,23645,1612,43310,2132,48374,30,81926,31,42886,1867,8876,782,10580,1218,146039,1625,19533,1273,6285,592,3588,567,6244,653,6075,418,19.2,1,5.9,0.6,25.7,1.4,10.4,0.7,13,0.6,14.3,0.1,24.3,0,12.9,0.6,7.1,0.6,3.3,0.4,43.3,0.5,13.2,0.9,4.2,0.4,2.9,0.5,5,0.5,1.8,0.1,0.17,0.668,0.8498,0.1186,0.1542,1.9606,0.2925,0.2727,0.5613,0.2451,0.5929,0.5059,2.1779,0.3083,0.5455,0.5455,0.5455,0.9486,0.0553,0.332,0.4941,0.5257,2.3557,0.415,7.0397,0.3399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,300848,28347,2538,41643,748,84243,0,11346,473,759,293,88,76,7579,1314,381,381,8.6,0,12.3,0.2,25,0,3.4,0.1,0.2,0.1,0,0.1,2.2,0.4,0.1,0.1
48,Texas,TX,48169,Garza,48169,"Garza County, Texas",893.4157515,6028,199,2187,160,1713,187,1178,351,173,133,265,125,1547,225,412,142,922,138,834,140,724,181,34,38,1109,186,3681,403,23,35,320,147,41,53,67,50,1717,213,27.2,7.9,8.9,6.8,15.5,7.1,35,4.7,9.5,3.3,15.3,2.4,13.8,2.3,16.7,4.3,2,2.2,19.1,3.1,61.1,6.4,1.1,1.6,14.6,6.5,2.4,3.1,3.9,2.9,28.5,3.4,0.5692,0.9209,0.1462,0.9644,0.0356,2.6363,0.5731,0.3597,0.0079,0.5652,0.0277,0.9723,1.9328,0.1462,0.7866,0.7866,0.7866,0.3004,0.502,0.2372,0.336,0.9921,2.3677,0.4308,7.7234,0.4704,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,4,6242,534,454,561,255,2954,280,134,132,12,14,0,20,20,32,0,0,12.4,0.8,9.3,4.2,49,4.6,2.2,2.2,0.2,0.2,0,0.7,0.3,0.5,0,0.7
48,Texas,TX,48171,Gillespie,48171,"Gillespie County, Texas",1058.201838,26668,0,13218,47,10820,414,4104,700,547,248,2717,458,2019,313,5245,668,7820,98,5328,41,3426,472,439,172,1191,310,6887,154,358,152,1709,231,398,167,583,277,312,93,15.6,2.7,4.3,1.9,25.1,4.1,10.3,1.6,19.9,2.5,29.3,0.4,20,0.2,13,1.8,4.1,1.6,4.7,1.2,25.8,0.6,2.7,1.1,12.9,1.7,3.7,1.5,5.4,2.5,1.2,0.3,0.083,0.3676,0.8063,0.1067,0.7431,2.1067,0.3518,0.9526,0.1265,0.2569,0.1779,0.664,2.1779,0.3083,0.2134,0.2134,0.2134,0.6126,0.4387,0.5099,0.5573,0.3478,2.4663,0.4822,6.9643,0.3241,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25633,3523,716,23,32,6300,0,83,37,63,71,0,26,360,104,58,58,13.4,0.1,0.1,0.1,23.6,0,0.3,0.1,0.2,0.3,0,0.2,1.3,0.4,0.2,0.3
48,Texas,TX,48173,Glasscock,48173,"Glasscock County, Texas",900.2172664,1447,132,526,63,435,63,399,215,0,14,41,33,287,102,317,152,169,61,279,93,147,70,51,53,218,130,575,229,0,19,50,29,19,25,0,14,0,14,27.6,14.6,0,6.7,9.4,7.5,30.7,8.4,21.9,9.8,11.7,4.5,19.3,6.2,10.2,4.7,11.7,12.1,15.5,9.2,39.7,15.4,0,3.6,9.5,5.5,4.4,5.7,0,9.8,0,1,0.585,0,0.0277,0.917,0.8379,2.3676,0.4229,0.1028,0.1028,0.1107,0.9526,0.9526,2.2215,0.3557,0.4625,0.4625,0.4625,0,0.2688,0.6561,0,0,0.9249,0.0198,5.9765,0.1621,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,3,1096,189,196,0,14,554,225,0,14,0,14,0,14,21,30,0,0,13.1,1.2,0,3.1,38.3,13.7,0,3.1,0,3.1,0,3.1,1.5,2.1,0,3.1
48,Texas,TX,48175,Goliad,48175,"Goliad County, Texas",852.0107475,7578,0,3780,24,2840,182,1842,342,135,103,476,130,954,228,736,211,1810,64,1606,37,1238,221,77,39,205,154,3195,73,35,40,701,154,27,28,281,112,93,47,24.6,4.6,4.2,3.2,16.8,4.4,17.7,4.2,9.8,2.8,23.9,0.8,21.2,0.5,16.5,3,2.7,1.4,2.8,2.1,42.2,1,0.9,1.1,18.5,4.1,1,1,9.9,3.8,1.2,0.6,0.4269,0.3478,0.2174,0.5534,0.0553,1.6008,0.17,0.834,0.2134,0.5375,0.0553,0.4427,2.0829,0.2213,0.5217,0.5217,0.5217,0.2688,0.7312,0.0593,0.9605,0.3478,2.3676,0.4269,6.573,0.2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5747,1692,356,408,45,2730,0,31,40,0,20,0,20,26,24,0,0,22.6,0.1,5.4,0.6,36,0,0.4,0.5,0,0.6,0,0.6,0.3,0.3,0,0.6
48,Texas,TX,48177,Gonzales,48177,"Gonzales County, Texas",1066.685873,20828,0,9048,54,7465,244,4992,639,236,98,1445,238,3209,315,3702,490,3481,78,5621,0,3529,396,637,189,1393,272,12243,161,108,52,2134,226,565,151,502,126,308,106,24.3,3.1,2.6,1.1,19.4,3.1,23.8,2.3,18,2.4,16.7,0.4,27,0,17.2,1.9,8.5,2.5,7.2,1.4,58.8,0.8,1.2,0.6,23.6,2.5,7.6,2,6.7,1.6,1.5,0.5,0.4071,0.1146,0.3834,0.8063,0.6087,2.3201,0.4111,0.4545,0.7866,0.6206,0.7668,0.834,3.4625,0.9407,0.7628,0.7628,0.7628,0.3281,0.8498,0.917,0.7826,0.4743,3.3518,0.9051,9.8972,0.8379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,19306,3237,578,1398,103,10652,0,84,86,0,26,7,10,102,82,0,0,15.8,0.1,6.7,0.5,51.1,0,0.4,0.4,0,0.2,0,0.1,0.5,0.4,0,0.2
48,Texas,TX,48179,Gray,48179,"Gray County, Texas",925.9736308,22063,0,9995,89,7843,267,5744,671,500,147,1489,264,2963,287,4247,592,3547,86,5604,17,2928,318,342,112,981,246,8231,185,252,95,459,119,268,108,383,130,1669,195,28.2,3.3,5.1,1.5,19,3.3,20.3,2,20.8,2.9,16.1,0.4,25.4,0.1,14.3,1.6,4.4,1.4,4.8,1.2,37.3,0.8,2.5,1,4.6,1.2,3.4,1.4,4.9,1.6,7.6,0.9,0.6285,0.5415,0.3676,0.6996,0.7826,3.0198,0.7194,0.419,0.6403,0.3518,0.2174,0.6759,2.3044,0.4229,0.415,0.415,0.415,0.6008,0.0672,0.4229,0.4783,0.834,2.4032,0.4506,8.1424,0.5692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21245,3517,661,1036,110,6490,0,76,56,149,54,47,67,431,108,2,2,17.2,0.2,4.7,0.5,29.4,0,0.3,0.3,0.7,0.2,0.2,0.3,2,0.5,0,0.1
48,Texas,TX,48181,Grayson,48181,"Grayson County, Texas",932.8353792,133527,0,56749,118,49327,750,26674,1912,2858,451,11733,812,9333,860,21019,1444,23764,60,31692,0,20407,935,3414,460,2189,431,33953,899,3517,442,6048,544,1119,231,2035,351,2312,282,20.4,1.5,4.4,0.7,23.8,1.6,10.4,1,15.9,1.1,17.8,0.1,23.7,0,15.4,0.7,6.9,0.9,1.7,0.3,25.4,0.7,6.2,0.8,10.7,1,2.3,0.5,4.1,0.7,1.7,0.2,0.2411,0.3992,0.7273,0.1186,0.3874,1.8736,0.2569,0.5296,0.4704,0.4545,0.5534,0.1976,2.2055,0.332,0.1897,0.1897,0.1897,0.8379,0.3518,0.2134,0.3676,0.5178,2.2885,0.3794,6.5573,0.2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128914,19438,1564,6746,424,18247,0,2143,135,964,202,9,12,5373,602,471,471,14.8,0,5.1,0.3,13.7,0,1.6,0.1,0.7,0.2,0,0.1,4,0.5,0.4,0.3
48,Texas,TX,48183,Gregg,48183,"Gregg County, Texas",273.3803512,123633,0,52256,172,46174,614,35519,2665,2363,396,12394,868,12351,950,21555,1487,19047,87,31877,0,16423,1066,4026,532,4058,560,53398,1000,5493,542,3908,491,1347,302,2726,409,4545,434,29.6,2.2,4.1,0.7,26.8,1.8,15.4,1.2,17.8,1.2,15.4,0.1,25.8,0,13.5,0.9,8.7,1.1,3.5,0.5,43.2,0.8,10.5,1,7.5,0.9,2.9,0.7,5.9,0.9,3.7,0.4,0.6917,0.3399,0.8735,0.4269,0.5889,2.9209,0.6917,0.3676,0.6877,0.3043,0.8024,0.5336,2.6956,0.6917,0.5375,0.5375,0.5375,0.8933,0.17,0.332,0.6482,0.7194,2.7629,0.6443,8.9169,0.6996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149908,15833,1698,24003,566,23354,0,1462,213,165,67,155,152,4107,767,152,152,13.3,0.1,19.4,0.5,18.9,0,1.2,0.2,0.1,0.1,0.1,0.1,3.3,0.6,0.1,0.1
