ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
48,Texas,TX,48185,Grimes,48185,"Grimes County, Texas",787.4659719,28447,0,11399,716,9206,808,6996,938,614,228,1891,308,3675,518,3756,760,4954,85,6340,26,3593,465,762,227,760,210,11937,395,255,181,2521,426,336,160,278,119,3851,1911,28.6,3.1,5.4,1.5,20.5,2.8,18.8,2.5,15.2,2.3,17.4,0.3,22.3,0.1,14.6,2.1,8.3,2.4,2.8,0.8,42,1.4,2.2,1.6,22.1,2.8,3.6,1.7,3,1.2,13.5,6.7,0.6561,0.5929,0.4862,0.6087,0.332,2.6759,0.5968,0.5138,0.3083,0.3676,0.7352,0.4427,2.3676,0.4664,0.5138,0.5138,0.5138,0.5375,0.8379,0.4783,0.2016,0.9289,2.9842,0.7826,8.5415,0.6443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,25654,4326,2525,4119,232,6874,0,75,55,31,21,0,26,653,210,185,185,17.6,1.4,14.5,0.8,24.2,0,0.3,0.2,0.1,0.1,0,0.2,2.3,0.7,0.7,0.8
48,Texas,TX,48187,Guadalupe,48187,"Guadalupe County, Texas",711.2524143,163030,0,59964,106,55710,609,26312,2508,3560,512,11727,982,12064,829,18767,1446,22771,99,40854,56,20668,1215,3855,489,3616,617,82081,748,2149,363,8169,672,1951,371,1373,327,1767,281,16.3,1.6,4.5,0.7,21.1,1.7,11.2,0.8,11.7,0.9,14,0.1,25.1,0,12.9,0.8,6.9,0.9,2.4,0.4,50.3,0.5,3.6,0.6,13.6,1.1,3.5,0.7,2.5,0.6,1.1,0.2,0.1028,0.419,0.5494,0.17,0.1146,1.3558,0.1107,0.2451,0.6245,0.2451,0.5534,0.3755,2.0436,0.1976,0.668,0.668,0.668,0.6719,0.4664,0.4625,0.1265,0.3123,2.0396,0.2569,6.107,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131567,11548,1190,12586,356,62324,0,2648,277,263,138,204,124,3708,543,348,348,7.2,0,7.7,0.2,38.2,0,1.6,0.2,0.2,0.1,0.1,0.1,2.3,0.3,0.2,0.1
48,Texas,TX,48189,Hale,48189,"Hale County, Texas",1004.679652,33463,0,13382,67,10888,329,9239,1013,629,200,2253,328,5159,407,7247,754,4475,94,9088,45,3531,385,1236,279,1940,457,22320,242,811,235,1085,264,481,190,678,177,2237,185,29.6,3.2,4.2,1.3,20.7,2.9,25.1,2,22.8,2.4,13.4,0.3,27.2,0.1,11.1,1.2,11.4,2.5,6.2,1.5,66.7,0.7,6.1,1.8,8.1,2,4.4,1.7,6.2,1.6,6.7,0.6,0.6917,0.3478,0.5138,0.8538,0.8656,3.2727,0.7905,0.2055,0.8063,0.1502,0.9407,0.7945,2.8972,0.7787,0.834,0.834,0.834,0.8261,0.2016,0.6561,0.6838,0.8142,3.1818,0.8617,10.1857,0.8735,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,33357,5299,759,1442,156,20023,0,110,42,31,39,4,9,663,168,47,47,17,0.1,4.3,0.5,59.8,0,0.3,0.1,0.1,0.1,0,0.1,2,0.5,0.1,0.2
48,Texas,TX,48191,Hall,48191,"Hall County, Texas",883.4915752,3025,0,1916,16,1252,94,1130,173,143,58,194,57,394,62,653,105,666,41,683,0,576,108,138,55,145,67,1343,76,1,14,123,44,67,31,52,27,60,21,38,5.8,10.1,4,15.5,4.4,18.9,3,21.9,3.5,22,1.4,22.6,0,19.4,3.6,11,4.3,5,2.3,44.4,2.5,0.1,0.7,6.4,2.3,5.4,2.4,4.2,2.2,2,0.7,0.913,0.9605,0.1462,0.6245,0.8379,3.4821,0.8458,0.7549,0.3518,0.8024,0.917,0.6917,3.5178,0.9486,0.5692,0.5692,0.5692,0.0949,0.1225,0.7866,0.3874,0.5692,1.9606,0.2292,9.5297,0.7826,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,2599,690,169,187,51,1047,0,0,14,15,16,0,14,94,49,0,0,23.3,0.2,6.2,1.7,34.6,0,0,1.5,0.5,0.5,0,1.5,3.1,1.6,0,1.5
48,Texas,TX,48193,Hamilton,48193,"Hamilton County, Texas",835.9142053,8434,0,4545,26,3007,227,2302,454,81,55,555,150,769,195,1347,267,2109,43,1760,2,1777,328,126,81,250,135,1367,95,41,39,280,105,120,61,120,87,252,63,28,5.5,2.4,1.6,18.5,4.8,12.9,3.3,16.4,3.2,25,0.5,20.9,0,21.6,4,4.2,2.7,3.1,1.7,16.2,1.1,0.9,0.9,6.2,2.3,4,2,4,2.8,3,0.7,0.6087,0.1028,0.3162,0.2609,0.4348,1.7234,0.2134,0.8735,0.1858,0.9091,0.1818,0.4783,2.6285,0.6601,0.0672,0.0672,0.0672,0.2688,0.1067,0.5652,0.3557,0.6601,1.9565,0.2253,6.3756,0.2134,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,7552,1434,330,30,28,1099,0,2,4,48,47,14,27,174,71,0,0,17.5,0.1,0.4,0.3,13,0,0,0.1,0.6,0.6,0.2,0.3,2.1,0.8,0,0.5
48,Texas,TX,48195,Hansford,48195,"Hansford County, Texas",919.8094996,5431,0,2342,37,1859,96,1527,404,278,121,440,136,955,142,935,234,897,107,1607,0,703,175,101,75,573,221,2667,54,0,28,163,76,43,47,66,60,69,100,28.5,7.5,11,4.9,23.7,7.2,28.5,4.1,17.5,4.4,16.5,2,29.6,0,13.1,3.2,5.4,4,11.4,4.4,49.1,1,0,1.2,7,3.3,2.3,2.5,3.6,3.2,1.3,1.8,0.6522,0.9763,0.7194,0.8893,0.5494,3.7866,0.9249,0.4348,0.9091,0.2688,0.3281,0.9209,2.8617,0.7668,0.6482,0.6482,0.6482,0,0.1581,0.2134,0.3004,0.4032,1.0751,0.0277,8.3716,0.6206,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,4981,983,317,10,11,2601,0,3,6,48,44,0,20,5,8,0,0,18.3,0.3,0.2,0.2,47.9,0,0.1,0.1,0.9,0.8,0,0.8,0.1,0.1,0,0.8
48,Texas,TX,48197,Hardeman,48197,"Hardeman County, Texas",695.1138658,3958,0,2411,99,1672,123,985,206,96,72,290,85,534,142,517,123,891,127,790,96,863,130,59,39,184,112,1316,213,44,63,249,92,66,54,88,50,29,10,25.1,5.2,4.7,3.5,17.3,4.9,18.5,5,13.1,3.1,22.5,3.2,20,2.4,21.9,3.3,3.5,2.3,4.9,3,33.2,5.4,1.8,2.6,10.3,3.8,3.9,3.2,5.3,3,0.7,0.3,0.4585,0.4625,0.2451,0.5889,0.1621,1.9171,0.2648,0.7945,0.1265,0.917,0.0988,0.6798,2.6166,0.6522,0.3439,0.3439,0.3439,0.4664,0.3281,0.5494,0.5415,0.1462,2.0316,0.253,6.9092,0.2885,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3734,888,201,228,102,926,153,0,14,27,17,0,14,135,105,0,0,22.6,0.1,5.8,2.6,23.4,3.9,0,1.1,0.7,0.4,0,1.1,3.4,2.7,0,1.1
48,Texas,TX,48199,Hardin,48199,"Hardin County, Texas",890.587647,57356,0,25111,90,21188,563,11474,1507,995,233,3897,502,4378,592,9097,1240,9681,155,14126,36,9525,897,1596,377,312,193,8006,303,612,211,6787,706,516,207,784,212,443,188,20.2,2.7,3.9,0.9,18.4,2.3,11.3,1.5,16,2.2,16.9,0.3,24.6,0.1,16.7,1.6,7.5,1.8,0.6,0.4,14,0.5,2.4,0.8,27,2.8,2.4,1,3.7,1,0.8,0.3,0.2134,0.2806,0.3083,0.1818,0.3992,1.3833,0.1186,0.4822,0.5771,0.5652,0.6443,0.0632,2.332,0.4427,0.0198,0.0198,0.0198,0.5692,0.9368,0.2372,0.3123,0.1818,2.2373,0.3478,5.9724,0.1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,47684,6150,889,3248,112,3447,0,420,112,140,107,0,33,637,186,114,114,10.8,0,5.7,0.2,6,0,0.7,0.2,0.2,0.2,0,0.1,1.1,0.3,0.2,0.2
48,Texas,TX,48201,Harris,48201,"Harris County, Texas",1706.963081,4680609,0,1795219,874,1635749,3591,1193553,16793,148311,3980,509459,6821,544111,6581,951568,14614,491390,75,1248951,0,438684,6587,138712,3417,477612,8274,3323857,6940,462500,6694,47027,1813,95808,2939,99901,3008,40905,2865,25.8,0.4,6.2,0.2,31.1,0.4,18.2,0.2,20.4,0.3,10.5,0.1,26.7,0,9.4,0.1,8.5,0.2,11,0.2,71,0.1,25.8,0.4,2.6,0.1,5.9,0.2,6.1,0.2,0.9,0.1,0.4941,0.7036,0.9723,0.5771,0.7708,3.5179,0.8656,0.0435,0.7589,0.0553,0.7668,0.913,2.5375,0.6047,0.8814,0.8814,0.8814,0.9921,0.0198,0.8261,0.6719,0.2134,2.7233,0.6047,9.6601,0.7984,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,3,5075522,530639,13799,865997,3757,2016625,0,327086,2967,7240,733,2261,262,91630,4326,13018,13018,11.4,0,18.5,0.1,43.1,0,7,0.1,0.2,0.1,0,0.1,2,0.1,0.3,0.1
48,Texas,TX,48203,Harrison,48203,"Harrison County, Texas",900.0582109,66547,0,28827,114,23841,561,18073,1702,1828,330,5693,662,6022,695,10243,1097,11268,139,16758,52,10032,885,2039,381,1236,290,24658,506,416,155,5959,605,1051,283,1358,251,1411,261,27.9,2.6,6.1,1.1,23.9,2.7,13.6,1.5,15.6,1.7,16.9,0.2,25.2,0.1,15.2,1.3,8.6,1.6,2,0.5,37.1,0.8,1.4,0.5,20.7,2.1,4.4,1.2,5.7,1.1,2.1,0.4,0.6047,0.6957,0.7431,0.3083,0.3676,2.7194,0.6166,0.4822,0.6324,0.4229,0.7905,0.2885,2.6165,0.6482,0.4111,0.4111,0.4111,0.3913,0.8024,0.6561,0.6245,0.585,3.0593,0.8103,8.8063,0.6877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64023,15207,1626,13781,234,8837,0,541,39,169,77,23,38,1273,437,34,34,23.3,0.1,20.7,0.4,13.3,0,0.8,0.1,0.3,0.1,0,0.1,1.9,0.7,0.1,0.1
48,Texas,TX,48205,Hartley,48205,"Hartley County, Texas",1461.950323,5588,0,1908,163,1691,160,491,232,9,14,374,124,654,127,756,209,823,39,1200,0,575,128,112,59,139,107,2241,197,98,66,325,106,37,37,19,32,1550,176,12.2,5.7,0.4,0.7,22.1,7,15.8,3,18.7,5,14.7,0.7,21.5,0,14.2,3.3,6.6,3.4,2.6,2,40.1,3.5,5.1,3.4,17,5.1,2.2,2.2,1.1,1.8,27.7,3.1,0.0198,0.0237,0.6126,0.4466,0.664,1.7667,0.2253,0.3043,0.2451,0.3439,0.4941,0.4111,1.7985,0.0988,0.4783,0.4783,0.4783,0.7905,0.6759,0.1976,0.0316,0.9881,2.6837,0.585,6.7272,0.2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6119,380,264,399,91,1500,0,46,40,22,26,0,20,239,161,35,35,9.4,0.4,7.1,1.6,26.8,0,0.8,0.7,0.4,0.5,0,0.8,4.3,2.9,0.6,0.9
48,Texas,TX,48207,Haskell,48207,"Haskell County, Texas",903.1326589,5711,0,3465,114,2162,188,1569,286,178,79,382,104,1033,172,932,184,1344,47,1056,27,1104,174,172,65,322,186,2038,80,32,28,504,92,58,37,134,54,465,268,29.9,5.2,7.3,3.3,17.7,4.6,25.9,4.2,17.8,3.2,23.5,0.8,18.5,0.5,21,2.9,8,2.9,5.9,3.4,35.7,1.4,0.9,0.8,14.5,2.7,2.7,1.7,6.2,2.4,8.1,4.7,0.7075,0.8182,0.2648,0.8696,0.5889,3.249,0.7787,0.83,0.0632,0.8854,0.7036,0.7747,3.2569,0.9012,0.3755,0.3755,0.3755,0.2688,0.4941,0.3004,0.6838,0.8458,2.5929,0.5375,9.4743,0.7747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4968,1080,389,241,53,1636,0,9,13,40,18,0,20,102,52,10,10,20.6,1.1,4.2,0.9,28.6,0,0.2,0.2,0.7,0.3,0,0.8,1.8,0.9,0.2,0.2
48,Texas,TX,48209,Hays,48209,"Hays County, Texas",676.8496999,222827,0,81696,256,76724,672,43747,3557,6649,898,23617,1482,12950,1140,30709,2936,24512,163,51314,0,21574,1668,3660,645,7029,1098,105847,1448,14230,1111,6881,699,2817,506,2152,552,6771,724,20.3,1.6,5.5,0.7,30.8,1.9,9.6,0.8,13.9,1.3,11,0.1,23,0,9.7,0.8,4.8,0.8,3.4,0.5,47.5,0.6,17.4,1.4,8.4,0.9,3.7,0.7,2.8,0.7,3,0.3,0.2292,0.5968,0.9565,0.0949,0.2213,2.0987,0.3478,0.0672,0.3874,0.0751,0.2609,0.5217,1.3123,0.004,0.6324,0.6324,0.6324,0.9763,0.2095,0.5099,0.17,0.6601,2.5258,0.5099,6.5692,0.2372,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,221767,24401,2504,8326,504,87907,0,3090,269,417,173,19,38,4489,581,1599,1599,11.3,0,3.7,0.2,39.5,0,1.4,0.1,0.2,0.1,0,0.1,2,0.3,0.7,0.5
48,Texas,TX,48211,Hemphill,48211,"Hemphill County, Texas",906.2856489,3901,0,1744,85,1356,107,510,262,126,89,232,94,427,134,874,209,588,80,1133,76,697,161,77,61,303,144,1516,154,26,26,289,86,61,44,45,37,35,50,13.2,6.8,6.6,4.9,17.1,6.8,17.7,5.5,22.6,5.4,15.1,2.1,29,1.9,18,4.1,5.7,4.5,8.3,3.9,38.9,3.9,1.5,1.5,16.6,4.9,4.5,3.2,3.3,2.6,0.9,1.3,0.0474,0.7628,0.2372,0.5534,0.8577,2.4585,0.4783,0.3439,0.8814,0.6996,0.3834,0.8498,3.1581,0.8617,0.4545,0.4545,0.4545,0.4071,0.6601,0.6838,0.2451,0.2134,2.2095,0.3162,8.2806,0.5968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3704,495,210,9,10,1445,146,0,14,0,14,0,14,62,40,0,0,12.8,0.2,0.2,0.3,37,3.7,0,1.1,0,1.1,0,1.1,1.6,1,0,1.1
48,Texas,TX,48213,Henderson,48213,"Henderson County, Texas",873.7806366,81969,0,41502,181,31649,642,24030,1884,2145,373,7052,699,8747,719,15053,1133,18256,70,17491,34,14967,1011,1532,300,1319,400,18613,702,1181,256,11588,644,908,241,1677,291,1324,281,29.9,2.3,6.3,1.1,22.3,2.2,15.1,1.2,18.6,1.4,22.3,0.1,21.3,0,18.5,1.3,4.8,0.9,1.7,0.5,22.7,0.9,2.8,0.6,27.9,1.6,2.9,0.8,5.3,0.9,1.6,0.3,0.7075,0.7194,0.6245,0.4032,0.6403,3.0949,0.7273,0.7787,0.2292,0.7431,0.2609,0.1976,2.2095,0.3399,0.1383,0.1383,0.1383,0.6206,0.9526,0.332,0.5415,0.4941,2.9408,0.747,8.3835,0.6245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,67043,13904,1423,4791,391,10726,0,517,110,438,160,53,49,2037,546,51,51,17.2,0.1,5.8,0.5,13.1,0,0.6,0.1,0.5,0.2,0.1,0.1,2.5,0.7,0.1,0.1
48,Texas,TX,48215,Hidalgo,48215,"Hidalgo County, Texas",1570.955926,861137,0,281380,175,243878,1321,373091,8856,26082,1884,71769,2434,160593,3530,260885,6580,95350,109,280998,52,111085,3307,29286,1545,146279,4276,810168,783,12825,1097,42090,1623,31210,1620,15376,1000,9119,560,43.8,1,7.3,0.5,29.4,1,33.1,0.7,30.6,0.8,11.1,0.1,32.6,0,13,0.4,12,0.6,18.7,0.5,94.1,0.1,4.6,0.4,15,0.6,12.8,0.7,6.3,0.4,1.1,0.1,0.9684,0.8182,0.9368,0.9526,0.9802,4.6562,0.9881,0.0751,0.9684,0.2569,0.9684,0.9684,3.2372,0.8933,0.9763,0.9763,0.9763,0.7549,0.5099,1,0.7036,0.3123,3.2807,0.8893,12.1504,0.9842,1,0,1,1,1,4,0,1,0,1,1,3,1,1,0,0,1,0,0,1,9,859815,213757,8012,3816,189,794879,0,8114,298,624,110,202,119,950,326,1583,1583,25.1,0,0.4,0.1,92.3,0,0.9,0.1,0.1,0.1,0,0.1,0.1,0.1,0.2,0.1
48,Texas,TX,48217,Hill,48217,"Hill County, Texas",958.8544505,36109,0,16409,82,13094,361,8180,784,1054,187,2774,286,3837,359,5898,414,7444,33,8396,43,6333,431,814,126,961,206,10741,195,294,86,2688,265,598,135,638,136,966,188,23.3,2.2,6.2,1.1,21.2,2.1,15.5,1.5,16.6,1.2,20.6,0.1,23.3,0.1,17.9,1.2,6.2,0.9,2.8,0.6,29.7,0.5,1.8,0.5,16.4,1.6,4.6,1,4.9,1,2.7,0.5,0.3676,0.7036,0.5573,0.4308,0.4545,2.5138,0.5099,0.7036,0.4229,0.6877,0.4427,0.4427,2.6996,0.6996,0.3004,0.3004,0.3004,0.4664,0.6324,0.6957,0.4783,0.6285,2.9013,0.7233,8.4151,0.6324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33315,5137,671,2159,118,7557,0,181,44,88,51,44,59,695,126,17,17,14.6,0.1,6,0.3,20.9,0,0.5,0.1,0.2,0.1,0.1,0.2,1.9,0.3,0,0.1
48,Texas,TX,48219,Hockley,48219,"Hockley County, Texas",908.3914268,22986,0,9392,66,8071,239,6043,572,703,175,1562,228,3508,258,4247,447,3326,59,6024,34,3366,292,580,168,989,223,12429,159,255,124,1517,189,399,130,515,151,747,145,27.3,2.6,6.6,1.6,19.4,2.8,24.4,1.9,18.7,2,14.5,0.3,26.2,0.1,14.8,1.3,7.2,2.1,4.6,1,54.1,0.7,2.7,1.3,16.2,2,4.9,1.6,6.4,1.9,3.2,0.6,0.5731,0.7628,0.3834,0.83,0.664,3.2133,0.7668,0.2885,0.7233,0.3834,0.6166,0.6601,2.6719,0.6759,0.6917,0.6917,0.6917,0.6126,0.6087,0.7194,0.7391,0.6798,3.3596,0.913,9.9365,0.8538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25495,3718,533,744,84,11163,0,81,39,100,31,19,30,282,111,40,40,16.7,0.1,3.2,0.4,48.6,0,0.4,0.2,0.4,0.1,0.1,0.1,1.2,0.5,0.2,0.2
48,Texas,TX,48221,Hood,48221,"Hood County, Texas",420.6898928,60025,0,26651,78,23215,445,9374,1317,1598,634,4652,587,3922,481,8078,1111,14963,190,12614,92,7608,713,788,226,1189,347,9629,409,1201,292,4846,507,632,196,557,132,762,183,15.8,2.2,6,2.3,20,2.5,9,1.1,13.6,1.9,24.9,0.3,21,0.2,12.8,1.2,3.4,1,2.1,0.6,16,0.7,4.5,1.1,18.2,1.9,2.7,0.8,2.4,0.6,1.3,0.3,0.0909,0.6798,0.4387,0.0711,0.1937,1.4742,0.1423,0.8656,0.1937,0.2213,0.0949,0.3043,1.6798,0.0632,0.0593,0.0593,0.0593,0.7431,0.7194,0.3004,0.1107,0.4032,2.2768,0.3715,5.4901,0.0988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55559,5746,992,587,159,7542,0,355,148,356,193,34,39,755,284,0,0,9.7,0,1,0.3,12.6,0,0.6,0.2,0.6,0.3,0.1,0.1,1.3,0.5,0,0.1
48,Texas,TX,48223,Hopkins,48223,"Hopkins County, Texas",767.4302391,36708,0,15441,82,13514,259,8845,846,769,150,2778,338,3734,383,6745,770,6875,145,9028,0,5628,446,587,158,868,232,9901,213,714,200,1958,209,506,138,471,114,456,150,24.5,2.3,4.4,0.9,20.6,2.5,15.1,1.6,18.6,2.1,18.7,0.4,24.6,0,15.5,1.2,4.3,1.2,2.5,0.7,27,0.6,4.6,1.3,12.7,1.4,3.7,1,3.5,0.9,1.2,0.4,0.4229,0.3992,0.5059,0.4032,0.6403,2.3715,0.4387,0.5889,0.5771,0.4704,0.2016,0.3953,2.2333,0.3636,0.249,0.249,0.249,0.7549,0.4308,0.5099,0.2806,0.3478,2.324,0.3913,7.1778,0.3715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33609,4763,648,2614,137,6264,0,264,37,101,59,51,52,569,135,38,38,13.1,0.1,7.1,0.4,17.1,0,0.7,0.1,0.3,0.2,0.1,0.1,1.6,0.4,0.1,0.1
48,Texas,TX,48225,Houston,48225,"Houston County, Texas",1231.000863,22942,0,11804,224,8234,399,7225,710,251,142,2517,343,3165,269,2916,503,5049,63,4476,12,4082,446,576,159,288,146,8794,239,146,87,2674,290,307,96,515,156,3135,520,36.4,3.4,3,1.7,30.6,3.9,18.8,1.6,14.7,2.4,22,0.3,19.5,0.1,20.5,2.1,7,1.9,1.3,0.7,38.3,1,1.2,0.7,22.7,2.5,3.7,1.2,6.3,1.9,13.7,2.3,0.8933,0.1542,0.9526,0.6087,0.2846,2.8934,0.6798,0.7549,0.1067,0.8617,0.5731,0.1502,2.4466,0.5296,0.4269,0.4269,0.4269,0.3281,0.8458,0.5099,0.7036,0.9328,3.3202,0.9012,9.0871,0.7233,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,19815,6003,1025,5681,163,2606,0,75,39,35,34,0,26,396,165,1,1,30.3,0.8,24.8,0.7,11.4,0,0.3,0.2,0.2,0.1,0,0.2,1.7,0.7,0,0.1
48,Texas,TX,48227,Howard,48227,"Howard County, Texas",900.7910792,36213,0,13200,182,11354,325,8331,1040,1034,274,2349,349,4924,417,5359,653,4655,83,7969,73,5352,502,928,212,2294,411,19066,452,1343,263,941,169,256,115,620,181,4711,488,26.3,3.3,6.8,1.7,20.7,3,19.9,1.7,16.8,2,12.9,0.2,22,0.2,16.7,1.6,8.2,1.9,6.8,1.2,52.6,1.2,10.2,2,7.1,1.3,2.3,1,5.5,1.6,13,1.3,0.5257,0.7866,0.5138,0.6798,0.4783,2.9842,0.7036,0.1779,0.2964,0.5652,0.7194,0.8142,2.5731,0.6206,0.6838,0.6838,0.6838,0.8854,0.1621,0.2134,0.5771,0.9209,2.7589,0.6364,9,0.7036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,37986,5373,996,1867,278,15686,0,197,72,237,71,11,21,1025,341,43,43,17.1,0.3,5.2,0.8,43.3,0,0.5,0.2,0.7,0.2,0,0.1,2.8,0.9,0.1,0.1
48,Texas,TX,48229,Hudspeth,48229,"Hudspeth County, Texas",4570.523097,4687,0,1595,67,1127,113,1515,348,131,103,284,101,1355,206,1160,285,649,43,1115,82,909,292,119,86,1437,329,3898,132,0,19,677,135,85,57,127,89,892,212,39.9,8.9,8.7,7,25.2,8.6,43.5,6.7,30.6,7,13.8,0.9,23.8,1.7,24,7.6,10.6,7.6,32,7.3,83.2,2.8,0,1.2,42.4,8.7,7.5,5,11.3,7.6,19,4.5,0.9328,0.913,0.8142,0.9921,0.9802,4.6323,0.9842,0.2292,0.4822,0.9644,0.9051,1,3.5809,0.9605,0.9249,0.9249,0.9249,0,1,0.913,0.9881,0.9486,3.8497,0.9881,12.9878,0.996,1,1,0,1,1,4,0,0,1,1,1,3,1,1,0,1,1,1,1,4,12,4215,1387,485,50,37,3644,0,62,49,0,14,0,14,142,115,0,0,36.5,2,1.1,0.8,77.7,0,1.3,1,0,1,0,1,3,2.4,0,1
48,Texas,TX,48231,Hunt,48231,"Hunt County, Texas",840.4153952,96202,0,38119,126,33596,506,23191,1519,2226,401,9172,672,9174,787,15251,975,15406,97,22937,0,14443,762,2027,320,1969,429,27931,695,2281,412,6174,545,1912,357,1937,327,2728,290,24.8,1.6,4.9,0.9,27.3,2,14.4,1.2,16,1,16,0.1,23.8,0,15.1,0.8,6,0.9,2.2,0.5,29,0.7,6,1.1,16.2,1.4,5.7,1.1,5.8,1,2.8,0.3,0.4308,0.4941,0.8972,0.3557,0.3992,2.577,0.5534,0.4111,0.4822,0.4032,0.4229,0.3241,2.0435,0.1937,0.2767,0.2767,0.2767,0.8221,0.6087,0.8103,0.6324,0.6482,3.5217,0.9328,8.4189,0.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89529,11672,1289,7328,430,16332,0,1230,129,875,170,29,35,2085,500,52,52,12.5,0,7.6,0.4,17,0,1.3,0.1,0.9,0.2,0,0.1,2.2,0.5,0.1,0.1
