FIPS,CNTY_NM,census_2020_count,july1_2021_pop_est,jan1_2022_pop_est,num_chg_20_21,num_chg_20_22,pct_chg_20_21,pct_chg_20_22
485,Wichita,129350,130122,130423,772,1073,0.6,0.8
487,Wilbarger,12887,12888,12782,1,-105,0,-0.8
489,Willacy,20164,20022,19981,-142,-183,-0.7,-0.9
491,Williamson,609017,644578,663405,35561,54388,5.8,8.9
493,Wilson,49753,51083,51723,1330,1970,2.7,4
495,Winkler,7791,7679,7629,-112,-162,-1.4,-2.1
497,Wise,68632,70910,72057,2278,3425,3.3,5
499,Wood,44843,45141,45156,298,313,0.7,0.7
501,Yoakum,7694,7624,7588,-70,-106,-0.9,-1.4
503,Young,17867,17838,17834,-29,-33,-0.2,-0.2
505,Zapata,13889,13781,13727,-108,-162,-0.8,-1.2
507,Zavala,9670,9658,9654,-12,-16,-0.1,-0.2
509,State of Texas,29145505,29527941,29719842,382436,574337,1.3,2
